atc_code,atc_description
a,Sistema digestivo y metabolismo
a14,Agentes anabólicos para uso sistémico
a14a,Esteroides anabólicos
a14aa,Derivados del androstano
a14aa02,Estanozolol
a14aa04,Metenolona
a14ab,Derivados del estreno
a14ab01,Nandrolona
a03,Agentes contra enfermedades funcionales del estómago e intestino
a03a,Agentes contra padecimientos funcionales del estómago
a03ab,"Anticolinérgicos sintéticos, compuestos de amonio cuaternario"
a03ab02,Bromuro de glicopirronio
a03ab06,Bromuro de otilonio
a03aa,"Anticolinérgicos sintéticos, ésteres con grupo amino terciario"
a03aa04,Mebeverina
a03aa05,Trimebutina
a03ax,Otros agentes contra padecimientos funcionales del estómago
a03ax15,"Menta piperita, aceite esencial de"
a03ax04,Pinaverio
a03ax13,Siliconas
a03d,Antiespasmódicos en combinación con analgésicos
a03db,Belladona y derivados en combinación con analgésicos
a03db04,Butilescopolamina y analgésicos
a03b,"Belladona y derivados, monofármacos"
a03ba,"Alcaloides de la belladona, aminas terciarias"
a03ba01,Atropina
a03bb,"Alcaloides semisintéticos de la belladona, compuestos de amonio cuaternario"
a03bb01,Butilescopolamina
a03f,Propulsivos
a03fa,Propulsivos
a03fa08,Cinitaprida
a03fa06,Cleboprida
a03fa03,Domperidona
a03fa07,Itoprida
a03fa01,Metoclopramida
a03fa51,"Metoclopramida, combinaciones con"
a02,Agentes para el tratamiento de alteraciones causadas por ácidos
a02b,Agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE/GORD)
a02ba,Antagonistas del receptor H2
a02ba03,Famotidina
a02ba53,"Famotidina, combinaciones con"
a02ba02,Ranitidina
a02bd,Combinaciones para la erradicación del helicobacter pylori
a02bd08,"Subcitrato de bismuto, tetraciclina y metronidazol"
a02bc,Inhibidores de la bomba de protones
a02bc06,Dexlansoprazol
a02bc05,Esomeprazol
a02bc03,Lansoprazol
a02bc01,Omeprazol
a02bc02,Pantoprazol
a02bc04,Rabeprazol
a02bx,Otros agentes contra la úlcera péptica y el reflujo gastroesofágico (RGE/GORD)
a02bx05,Subcitrato de bismuto
a02bx02,Sucralfato
a02bx91,Zinc acexamato
a02bb,Prostaglandinas
a02bb01,Misoprostol
a02a,Antiácidos
a02ah,Antiácidos con bicarbonato de sodio
a02ah91,Sodio bicarbonato
a02ad,"Combinaciones y complejos de compuesto de aluminio, calcio y magnesio"
a02ad03,Almagato
a02ad05,Almasilato
a02ad01,Combinaciones de sales simples
a02ad02,Magaldrato
a02aa,Compuestos de magnesio
a02aa04,Hidróxido de magnesio
a02ax,Otras combinaciones con antiácidos
a07,"Antidiarreicos, agentes antiinflamatorios y antiinfecciosos intestinales"
a07b,Adsorbentes intestinales
a07ba,Preparados con carbón
a07ba01,Carbón medicinal
a07e,Agentes antiinflamatorios intestinales
a07ec,Ácido aminosalicílico y agentes similares
a07ec02,Mesalazina
a07ec01,Sulfasalazina
a07eb,"Agentes antialérgicos, excluyendo corticosteroides"
a07eb01,Ácido cromoglícico
a07ea,Corticosteroides de acción local
a07ea07,Beclometasona
a07ea06,Budesonida
a07ea91,Triamcinolona
a07a,Antiinfecciosos intestinales
a07aa,Antibióticos
a07aa12,Fidaxomicina
a07aa01,Neomicina
a07aa51,"Neomicina, combinaciones con"
a07aa02,Nistatina
a07aa06,Paromomicina
a07aa13,Rifamicina
a07aa11,Rifaximina
a07d,Antipropulsivos
a07da,Antipropulsivos
a07da06,Eluxadolina
a07da91,"Etilmorfina, combinaciones con"
a07da03,Loperamida
a07da53,"Loperamida, combinaciones con"
a07da52,"Morfina, combinaciones con"
a07da02,Opio
a07c,Electrolitos con carbohidratos
a07ca,Formulaciones de sales de rehidratación oral
a07ca91,Sales para rehidratación oral
a07f,Microorganismos antidiarreicos
a07fa,Microorganismos antidiarreicos
a07fa01,"Ácido láctico, organismo productores de"
a07fa51,"Ácido láctico, organismos productores de, combinaciones con"
a07fa02,Saccharomyces boulardii
a07x,Otros antidiarreicos
a07xa,Otros antidiarreicos
a07xa04,Racecadotrilo
a07xa01,Tanato de albúmina
a04,Antieméticos y antinauseosos
a04a,Antieméticos y fármacos para las nauseas
a04aa,Antagonistas de receptores de serotonina (5-HT3)
a04aa02,Granisetrón
a04aa01,Ondansetrón
a04aa05,Palonosetrón
a04aa55,"Palonosetron, combinaciones"
a04aa03,Tropisetrón
a04ad,Otros antieméticos
a04ad12,Aprepitant
a04ad01,Escopolamina
a04ad14,Rolapitant
a09,"Digestivos, incluidos enzimas"
a09a,"Digestivos, incluyendo enzimas"
a09aa,Preparados enzimáticos
a09aa02,"Multienzimas (lipasa, proteasa, etc.)"
a09aa52,Multienzimas asociados a otras sustancias
a15,Estimulantes del apetito
a15z,Estimulantes del apetito
a15zz,Estimulantes del apetito
a15zz91,"Ciproheptadina, combinaciones con"
a10,Fármacos usados en diabetes
a10b,Fármacos hipoglucemiantes excluyendo insulinas
a10bj,Analogos al peptido similar al glucagon (GLP-1)
a10bj04,Albiglutida
a10bj05,Dulaglutida
a10bj01,Exenatida
a10bj02,Liraglutida
a10bj03,Lixisenatida
a10bj06,Semaglutida
a10ba,Biguanidas
a10ba02,Metformina
a10bd,Combinaciones de fármacos hipoglucemiantes orales
a10bd06,Glimepirida y pioglitazona
a10bd19,Linagliptina y empagliflozina
a10bd13,Metformina y alogliptina
a10bd16,Metformina y canagliflozina
a10bd15,Metformina y dapagliflozina
a10bd20,Metformina y empagliflozina
a10bd23,Metformina y ertugliflozina
a10bd11,Metformina y linagliptina
a10bd05,Metformina y pioglitazona
a10bd03,Metformina y rosiglitazona
a10bd10,Metformina y saxagliptina
a10bd07,Metformina y sitagliptina
a10bd08,Metformina y vildagliptina
a10bd09,Pioglitazona y alogliptina
a10bd21,Saxagliptina y dapagliflozina
a10bb,Derivados de las sulfonilureas
a10bb01,Glibenclamida
a10bb09,Gliclazida
a10bb12,Glimepirida
a10bb07,Glipizida
a10bb08,Gliquidona
a10bb91,Glisentida
a10bf,Inhibidores de la alfa glucosidasa
a10bf01,Acarbosa
a10bf02,Miglitol
a10bh,Inhibidores de la dipeptidil peptidasa 4 (DPP-4 peptidasa)
a10bh04,Alogliptina
a10bh05,Linagliptina
a10bh03,Saxagliptina
a10bh01,Sitagliptina
a10bh02,Vildagliptina
a10bk,Inhibidores del cotransportador sodio-glucosa tipo 2 (SGLT2)
a10bk02,Canagliflozina
a10bk01,Dapagliflozina
a10bk03,Empagliflozina
a10bk04,Ertugliflozina
a10bx,Otros fármacos hipoglucemiantes excluyendo insulinas
a10bx01,Goma guar
a10bx03,Nateglinida
a10bx02,Repaglinida
a10bx16,Tirzepatida
a10bg,Tiazolidinadionas
a10bg03,Pioglitazona
a10bg02,Rosiglitazona
a10a,Insulinas y análogos
a10ac,Insulinas y análogos de acción intermedia para inyección
a10ac01,Insulina (humana)
a10ac04,Insulina lispro
a10ae,Insulinas y análogos de acción prolongada para inyección
a10ae06,Insulina degludec
a10ae56,Insulina degludec y liraglutida
